Video ID,Title,Channel,Published At
CsgJsjEBbnk,Warum die AfD in RLP so stark abschneidet | Bundestagswahl 2025,SWR Aktuell,2025-02-26T15:30:06Z
Tqa6R6tQByk,"Nach der Wahl: Scholz tritt ab, Merz übernimmt, die AfD verdoppelt sich | heute-show vom 28.02.2025",ZDF heute-show,2025-02-28T21:30:06Z
dH8BROrcr_0,#afd #video,Kinder Stehen auf ( Initiative aus München),2025-02-09T07:54:33Z
CLHgw2Ji-Us,Dentro l’AFD. L’estrema destra che cresce in Germania. Il reportage,La7 Attualità,2025-01-19T21:13:57Z
oJIj81RQ0Vc,Reportage avec des militants de l&#39;AFD à Dresde - En Société du 23 février 2025,En Société - France Télévisions,2025-02-23T18:08:46Z
k3Lss3KPvAQ,Verbotsantrag zur AfD eskaliert! Stephan Brandner auf 180! AfD-Fraktion im Bundestag,AfD-Fraktion Bundestag,2025-01-31T09:06:58Z
4pmALFZCJ0U,Dlaczego Elon Musk popiera AfD? #podcast #OKOpress #AfD #Niemcy,OKOpress,2025-01-27T19:42:41Z
6SERymfdoTQ,Ce parere au tinerii despre succesul AfD?,DW Română,2025-02-25T13:00:08Z
8_q99lrBKGU,"FdI, Lega e AfD: cosa hanno in comune la destra italiana e quella tedesca?",La7 Attualità,2025-02-09T22:56:41Z
jztjNuOc0k4,🤡 #afd #wahlen #nachrichten #politik #remigration #deutschland #aliceweidel #ampel #wahrheit,Blaue Welle Deutschland,2025-02-02T09:08:00Z
pPEDMMKQTQQ,❌DAS MUSST DU SEHEN 😲❌ #aliceweidel #politik #afd #bundestag #chrupalla #cdu #spd #merz #scholz,Rich Kids of Wall Street ,2025-02-27T08:49:16Z
zivb4eFZN4g,"Augen auf, Grenzen zu! #afd #ltnrw",AfD-Fraktion NRW,2025-02-08T18:00:49Z
VoS9V-CyAxg,"Rot-grüne Aktivisten drehen durch, weil die AfD und Alice Weidel ein Recht auf Wahlkampf haben!",Sascha Schmitz,2025-02-09T14:27:30Z
VwlkQLgB8dM,Tino Chrupalla stopft linksversiffter verschrumpelter Oma das Maul #afd #tinochrupalla,Red Scorpion,2025-02-07T09:15:01Z
iK1qnh_4nnA,Thomas Thumm (AfD) lässt seine Wut über Altparteien raus ...,AfD-Fraktion im Sächsischen Landtag,2025-02-13T13:21:15Z
j5ICIuj-TVU,❌BALD WIEDER RUSSISCHES GAS 🇩🇪?❌ #afd #politik #putin #spd #chrupalla #bundestag #merz #scholz,Rich Kids of Wall Street ,2025-02-06T17:45:34Z
ClNN73QwH6U,Wagenknecht über AfD? #afd #bsw #wagenknecht #weidel #aliceweidel,Ben {Ungeskriptet},2025-02-20T22:58:44Z
0pf7dAA3ttM,❌Während der LIVE SENDUNG auf  ARD❌ 😳😳😳 #afd #politik #spd #chrupalla #merz #bundestag #scholz,Rich Kids of Wall Street ,2025-01-28T21:43:24Z
4ZJgBwY5m54,Ups...da macht die CDU wohl was falsch monentan... #afd #CDU #SPD #bündnis90diegrünen #bsw #fdp,GameBlamer,2025-01-19T09:43:13Z
ZjvQXNK8fjQ,Alice Weidel - die AfD-Chefin im Porträt,ZDFheute Nachrichten,2025-02-19T12:00:47Z
sJ07Fmc--A8,Alice Weidels Reaktion auf Zwischenruf ist unbezahlbar! #afd,Elijah Tee - ET Video & Content,2025-01-28T14:55:32Z
dnwYGHARI-s,"Beatrix von Storch (AfD) über Migration, Entlastungen &amp; Energiepolitik - Serie zur Bundestagswahl",rbb24,2025-02-15T10:00:13Z
