videoId,publishedAt,period,viewCount,likeCount,commentCount
kWpL4qKEQF4,2023-10-23 07:55:07+00:00,Before Founding,108849,11851,3344
Aqt2k_7tvKo,2023-10-12 19:30:30+00:00,Before Founding,366462,21969,6254
K0YqvoU08Sw,2023-09-21 18:50:44+00:00,Before Founding,912495,47898,12860
-FWWfaBUtD0,2023-09-19 16:09:01+00:00,Before Founding,264637,20322,976
psN9dX1laVM,2023-09-18 14:14:22+00:00,Before Founding,1265971,59071,2710
x4ms74GOJq8,2023-09-07 16:09:44+00:00,Before Founding,455058,26831,7273
CGCXvUXaFeU,2023-07-13 15:03:18+00:00,Before Founding,197156,9554,5612
51MUJJD3o_4,2023-07-06 16:31:29+00:00,Before Founding,250162,15182,3432
lY4e3H0NDV4,2023-06-22 18:46:07+00:00,Before Founding,388077,26229,5545
ulaw8J_YFLw,2023-06-16 14:02:12+00:00,Before Founding,1176727,62061,2363
FJvNU6QGmcw,2023-05-27 10:01:18+00:00,Before Founding,321179,23483,780
HrUXeOwPcHE,2023-05-25 17:43:40+00:00,Before Founding,366991,25331,10995
scvsn6UDVdE,2023-05-17 13:36:53+00:00,Before Founding,112190,9513,389
tLDLTGNd24c,2023-05-16 11:04:34+00:00,Before Founding,146917,12855,388
sKYf74YFL8M,2023-05-11 18:12:54+00:00,Before Founding,338237,24417,5064
5j1DoEwZpho,2023-04-28 14:19:25+00:00,Before Founding,146616,11129,280
wYyHVnrfjvI,2023-04-27 18:08:36+00:00,Before Founding,389577,28896,6161
t68QfjvISZ8,2023-04-21 13:43:39+00:00,Before Founding,802277,41837,2127
oBRUvMSHsHs,2023-03-30 18:08:20+00:00,Before Founding,343033,22566,7866
tewlw2R8rvo,2023-03-23 19:11:13+00:00,Before Founding,355928,19556,3443
H6vwRCQX3cQ,2023-03-20 07:29:56+00:00,Before Founding,213017,24370,1214
5BZKoICJbZY,2023-03-18 13:20:07+00:00,Before Founding,1767578,108370,5130
BcUWnPJoxI0,2023-03-16 17:03:41+00:00,Before Founding,1012052,52485,9979
aIylqpDNVIc,2023-03-15 17:02:24+00:00,Before Founding,1387966,77435,5449
